date	0	1	2	3	4	5	6	7	8	9	10	11
Dec 31 1949	1	3	3	1	0	1	1	4	3	1	5	0
Dec 31 1950	3	4	2	2	0	3	1	4	2	1	3	1
Dec 31 1951	3	1	5	2	1	0	1	3	2	2	3	1
Dec 31 1952	4	3	5	2	3	1	0	3	4	0	2	0
Dec 31 1953	4	1	5	1	1	3	0	2	4	2	4	2
Dec 31 1954	3	2	3	2	0	0	0	4	1	6	2	1
Dec 31 1955	9	8	6	5	6	8	1	9	10	9	6	4
Dec 31 1956	10	5	9	7	6	4	3	8	10	10	12	3
Dec 31 1957	11	3	4	5	7	8	3	9	5	8	14	2
Dec 31 1958	11	8	4	11	7	6	5	11	4	7	11	2
Dec 31 1959	7	7	6	7	6	17	3	12	6	7	8	5
Dec 31 1960	9	6	15	3	5	7	2	11	8	10	7	3
Dec 31 1961	14	5	8	6	7	15	1	8	4	16	6	4
Dec 31 1962	11	7	6	8	9	9	3	11	7	10	6	4
Dec 31 1963	13	9	6	7	8	4	6	6	2	15	5	6
Dec 31 1964	12	7	10	1	9	8	7	9	2	13	6	4
Dec 31 1965	11	5	10	7	9	9	7	7	5	11	6	7
Dec 31 1966	12	3	12	2	8	7	5	14	3	11	9	2
Dec 31 1967	12	5	15	5	8	9	7	10	4	9	5	5
Dec 31 1968	11	5	12	2	6	10	3	11	5	17	6	5
Dec 31 1969	6	6	7	3	8	11	1	9	9	14	4	3
Dec 31 1970	11	6	15	4	6	3	5	10	3	6	5	9
Dec 31 1972	12	9	11	3	8	9	4	11	3	9	4	6
Dec 31 1973	13	6	11	2	7	9	4	12	4	12	4	7
Dec 31 1974	16	4	8	0	8	8	1	11	3	13	10	3
Dec 31 1975	13	7	8	5	7	10	1	13	2	9	9	7
Dec 31 1976	21	4	9	5	6	9	4	7	4	13	8	4
Dec 31 1977	14	5	7	1	6	7	4	12	6	15	4	10
Dec 31 1978	10	9	14	2	7	12	5	8	6	8	4	4
Dec 31 1979	21	9	7	1	6	6	3	12	1	13	10	2
Dec 31 1980	15	3	12	4	3	7	4	4	3	15	8	6
Dec 31 1981	13	8	12	2	12	6	1	8	5	11	4	7
Dec 31 1982	18	7	7	4	4	6	5	10	4	13	4	8
Dec 31 1983	10	10	10	2	6	6	3	10	2	12	8	9
Dec 31 1984	11	7	11	4	8	8	5	12	5	10	5	5
Dec 31 1985	15	9	7	3	8	12	10	6	5	8	4	5
Dec 31 1986	10	10	7	0	10	7	4	12	7	9	8	6
Dec 31 1987	12	6	13	5	8	4	3	4	6	8	8	9
Dec 31 1988	5	7	12	2	8	4	9	13	4	9	4	5
Dec 31 1989	14	11	3	2	4	16	5	7	4	6	8	5
Dec 31 1990	5	19	8	3	8	6	10	7	5	8	5	4
Dec 31 1991	10	12	5	2	6	11	6	11	4	7	6	9
Dec 31 1992	5	11	12	2	6	10	4	12	7	5	8	9
Dec 31 1993	9	5	3	4	11	9	8	11	2	14	5	8
Dec 31 1994	11	7	2	1	5	9	9	12	9	6	7	8
Dec 31 1995	6	6	12	3	4	5	8	4	5	9	6	9
Dec 31 1996	6	12	5	3	3	9	5	9	6	8	7	10
Dec 31 1998	7	13	5	6	2	2	4	11	4	7	6	7
Dec 31 1999	9	10	8	2	8	6	5	14	4	6	4	6
Dec 31 2000	6	11	8	4	5	5	5	12	4	6	2	4
Dec 31 2001	7	7	11	3	4	2	7	8	6	5	2	7
Dec 31 2002	2	7	6	2	8	14	5	5	4	1	5	2
Dec 31 2003	6	9	8	2	6	7	4	6	3	6	2	7
Dec 31 2004	6	15	5	0	4	6	5	9	3	9	4	6
Dec 31 2005	5	10	4	4	5	7	7	10	6	6	3	1
Dec 31 2006	12	8	6	2	2	4	6	10	3	6	4	1
Dec 31 2007	5	7	7	2	6	5	4	5	5	7	1	13
Dec 31 2008	9	11	1	3	5	9	8	6	7	8	3	8
Dec 31 2009	9	9	4	3	5	8	3	3	2	4	6	8
Dec 31 2010	3	6	9	5	8	7	5	6	4	7	1	8
Dec 31 2011	10	11	7	0	4	6	2	11	9	9	4	7
Dec 31 2012	0	0	0	0	0	0	0	0	0	0	0	0
Dec 31 2013	4	9	6	2	3	4	5	7	4	9	3	7
